x,y
-0.343,-0.72006
1.6663,1.0428
-0.76671,-0.27148
2.6355,1.7781
-0.016814,0.22003
0.30416,0.46179
0.68434,0.91189
0.055808,0.35235
-1.4018,-0.70583
-1.3601,-0.5418
-1.5217,-0.55648
1.0547,0.52314
-0.12779,-0.52872
-1.4103,-1.044
0.60286,-0.022257
-0.45693,-0.41893
-0.13968,0.10299
-0.98331,-0.94211
0.40777,0.19692
0.24299,0.49567
0.39754,0.074187
-0.17569,-0.63852
-0.31754,-0.48755
-1.1016,-0.84745
-0.77929,-0.32507
-1.7622,-1.3092
-1.9355,-1.5656
1.5269,1.4132
0.67873,0.78965
-2.2772,-1.2362
-1.4286,-0.27876
-1.1146,-0.91609
0.91321,1.0189
0.97637,0.64033
-1.5769,-1.184
0.20408,0.21771
-1.8883,-1.0426
0.73619,0.69105
1.1169,-0.071236
0.74338,0.57617
1.6159,0.9381
-1.6665,-0.7527
-0.10259,-0.37103
0.62273,-0.0035657
-0.19273,-0.050374
0.7946,0.34088
0.16091,0.62558
0.53908,0.30518
-0.024849,-0.055152
-2.5484,-1.3718
-1.0016,-0.58432
-1.1616,-0.33713
-0.31446,0.29009
1.0669,0.63613
0.27687,-0.079029
1.7486,1.107
0.17543,0.3424
0.36298,0.33793
0.74679,1.019
0.84226,0.14835
1.649,0.88506
1.7256,0.94764
-1.5309,-1.1919
-0.39123,-0.40149
-1.5353,-0.94837
0.095966,0.074948
0.53897,0.21626
-2.0285,-1.4704
-1.4307,-0.96552
-0.48409,-0.4635
-0.43685,-0.42635
0.56279,0.47013
-0.36239,-0.10122
0.79359,0.89814
-0.013938,0.075616
0.41352,0.29142
2.3551,1.6139
0.63268,0.46561
-1.6999,-0.95863
2.5108,1.6028
-0.39626,-0.15286
-1.2041,-0.85097
-0.46805,-0.15058
0.02735,0.07626
0.48869,0.10161
-0.23153,-0.38793
-1.2015,-1.1037
0.58582,0.14275
-1.0114,-0.9547
-0.082795,-0.40758
1.4941,0.53214
0.042678,-0.17337
-0.32333,-0.41065
0.93492,0.63361
-1.4533,-0.62307
0.087303,0.11704
-0.19427,-0.257
1.9838,1.6379
1.0663,0.9458
-1.8071,-1.0866
-2.0554,-1.0183
-0.16203,-0.087117
0.62868,-0.051959
-0.34767,-0.098231
-0.46677,-0.59591
1.7817,0.54183
2.039,1.5886
-0.1996,0.35674
1.8528,1.4655
-0.29647,0.043225
