Vernier Format 2
data.cmbl 3/27/2024 19:07:12 .
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		m	m/s	m/s²

0.1965832	1	0	 	 
0.2600824	0	 	 	 
0.5205824	1	0.015	0.0877343478021	0.255790367345
0.6107824	0	 	 	 
0.6622828	1	0.03	0.155277057781	0.697526771904
0.7092072	0	 	 	 
0.7439164	1	0.045	0.208719235089	0.611791384043
0.7806828	0	 	 	 
0.8094828	1	0.06	0.25197084662	0.707531059503
0.8398876	0	 	 	 
0.8647284	1	0.075	0.289259985103	0.642409514337
0.8917824	0	 	 	 
0.9139	1	0.09	0.323584707855	0.753710308969
0.9380908	0	 	 	 
0.9579916	1	0.105	0.357900963415	0.80287895338
0.9799824	0	 	 	 
0.9980984	1	0.12	0.384188580727	0.508001860455
1.0185852	0	 	 	 
1.0361828	1	0.135	0.406200927729	0.64797523262
1.055914	0	 	 	 
1.0720824	1	0.15	0.434434962521	0.924969022578
1.09019	0	 	 	 
1.1054264	1	0.165	0.461303429796	0.686623304399
1.1227824	0	 	 	 
1.137192	1	0.18	0.48061966174	0.529549659034
1.1536824	0	 	 	 
1.1678828	1	0.195	0.497500203328	0.570489544099
1.1839144	0	 	 	 
1.1975296	1	0.21	0.515694556948	0.656918042593
1.2129824	0	 	 	 
1.2260968	1	0.225	0.537414454172	0.863699814556
1.240822	0	 	 	 
1.2534088	1	0.24	0.557913337565	0.637390064797
1.2676112	0	 	 	 
1.279894	1	0.255	0.576359512352	0.755552015112
1.2936824	0	 	 	 
1.30549	1	0.27	0.592606740883	0.513961075306
1.3190828	0	 	 	 
1.33053	1	0.285	0.611108507646	0.963815822633
1.3435824	0	 	 	 
1.354618	1	0.3	0.630492291155	0.645598284776
1.367322	0	 	 	 
1.378126	1	0.315	0.645837610675	0.659941916008
1.3904828	0	 	 	 
1.4010824	1	0.33	0.660106149544	0.583157077595
1.4131828	0	 	 	 
1.4235824	1	0.345	0.671201402745	0.40308765141
1.435496	0	 	 	 
1.4457824	1	0.36	0.682957204942	0.655993627639
1.4574284	0	 	 	 
1.4675188	1	0.375	0.691241716008	0.106277131558
1.4790824	0	 	 	 
1.4891828	1	0.39	0.706547658017	1.30675296533
1.5004824	0	 	 	 
1.5100116	1	0.405	0.731575150238	1.09640921594
1.5208824	0	 	 	 
1.5302096	1	0.42	0.750396916319	0.767316507487
1.5409824	0	 	 	 
1.5499988	1	0.435	0.763331541436	0.5399243226
1.5604832	0	 	 	 
1.5695148	1	0.45	 	 
1.579884	0	 	 	 
1.5888836	1	 	 	 
