Vernier Format 2
T_PEND.cmbl 4/10/2024 19:04:46 .
Latest
Time	GateState	Measurement Number	Period
t	State	Number	Per
s		#	s

0	0	1	0.9845164
1.8294568	1	2	1.0182188
1.847978	0	3	0.9811872
2.3123568	1	4	1.0175204
2.3312036	0	5	0.9896896
2.8139732	1	6	1.0085136
2.8322848	0	7	0.998656
3.3202724	1	8	0.9963144
3.339204	0	9	1.0110864
3.832192	1	10	0.9871136
3.8506572	0	11	1.016588
4.3235568	1	12	0.9838416
4.3445912	0	13	1.0133824
4.8133792	1	14	0.9921072
4.8330572	0	15	1.0034832
5.3168772	1	16	1.0050896
5.3362576	0	17	0.9880976
5.8308996	1	18	1.015704
5.8510568	0	19	0.9800352
6.3268576	1	20	1.020104
6.3473572	0	21	0.9828624
6.8205892	1	22	1.0101008
6.8419572	0	23	0.9951008
7.3163596	1	24	0.9939008
7.3366756	0	25	1.0123024
7.8291028	1	26	0.9788992
7.849458	0	27	1.0214016
8.331258	1	28	0.9737216
8.3530556	0	29	1.0183968
8.8277588	1	30	0.9830048
8.8493588	0	31	1.0049184
9.3179644	1	32	1.0019616
9.3399588	0	33	0.9842016
9.8240732	1	34	1.0183328
9.8456596	0	35	0.9701696
10.3322828	1	36	1.026
10.353986	0	37	0.9711008
10.8351596	1	38	1.0173408
10.8581596	0	39	0.9871616
11.3220604	1	40	0.9954016
11.3453604	0	41	1.0100128
11.8222732	1	42	0.9733856
11.8451716	0	43	1.027824
12.3273604	1	44	0.9624128
12.35027	0	45	1.0279936
12.8388612	1	46	0.970672
12.8617612	0	47	1.011696
13.3291716	1	48	0.9944416
13.3546612	0	49	0.9854592
13.8227028	1	50	1.0200128
13.8465956	0	 	0.962192
14.3229604	1	 	1.0333056
14.3470612	0	 	0.9556032
14.8360852	1	 	1.0297024
14.8603636	0	 	0.9722112
15.335962	1	 	1.0063872
15.361162	0	 	1.0001344
15.8281924	1	 	0.9756672
15.8545636	0	 	1.0268288
16.3190628	1	 	 
16.3441092	0	 	 
16.8316756	1	 	 
16.8569044	0	 	 
17.3360644	1	 	 
17.362466	0	 	 
17.8367652	1	 	 
17.8632772	0	 	 
18.319474	1	 	 
18.3475716	0	 	 
18.8248628	1	 	 
18.8508948	0	 	 
19.333066	1	 	 
19.3601668	0	 	 
19.8405668	1	 	 
19.8683796	0	 	 
20.3263668	1	 	 
20.3556676	0	 	 
20.820602	1	 	 
20.8494676	0	 	 
21.3249684	1	 	 
21.3523732	0	 	 
21.840706	1	 	 
21.8693828	0	 	 
22.3318676	1	 	 
22.3627124	0	 	 
22.8235684	1	 	 
22.8539684	0	 	 
23.3161684	1	 	 
23.3461684	0	 	 
23.8336692	1	 	 
23.8626692	0	 	 
24.3357684	1	 	 
24.3676692	0	 	 
24.82877	1	 	 
24.86077	0	 	 
25.3131716	1	 	 
25.3453908	0	 	 
25.8226708	1	 	 
25.8538804	0	 	 
26.3321732	1	 	 
26.3636724	0	 	 
26.8349732	1	 	 
26.8687748	0	 	 
27.3139908	1	 	 
27.3482724	0	 	 
27.8138724	1	 	 
27.8471748	0	 	 
28.3217732	1	 	 
28.354474	0	 	 
28.835274	1	 	 
28.8686948	0	 	 
29.319674	1	 	 
29.3567748	0	 	 
29.8089956	1	 	 
29.8441732	0	 	 
30.3103172	1	 	 
30.3446084	0	 	 
30.8273924	1	 	 
30.8619908	0	 	 
31.325114	1	 	 
31.3620868	0	 	 
31.8103972	1	 	 
31.8486756	0	 	 
32.3002756	1	 	 
32.3361764	0	 	 
32.8153156	1	 	 
32.8512196	0	 	 
33.3225828	1	 	 
33.3598756	0	 	 
33.8172772	1	 	 
33.8563812	0	 	 
34.2951268	1	 	 
34.3345924	0	 	 
34.8014788	1	 	 
34.8386116	0	 	 
35.3138788	1	 	 
35.3516132	0	 	 
35.8198116	1	 	 
35.8596164	0	 	 
36.2987812	1	 	 
36.3407812	0	 	 
36.7899812	1	 	 
36.830282	0	 	 
37.2998948	1	 	 
37.337882	0	 	 
37.8159812	1	 	 
37.856586	0	 	 
38.3044836	1	 	 
38.347418	0	 	 
38.787082	1	 	 
38.830698	0	 	 
39.2840836	1	 	 
39.3244196	0	 	 
39.8044228	1	 	 
39.8447876	0	 	 
40.3064964	1	 	 
40.3505924	0	 	 
40.7915844	1	 	 
40.836602	0	 	 
41.2733828	1	 	 
41.3178852	0	 	 
41.786986	1	 	 
41.82881	0	 	 
42.3010116	1	 	 
42.344186	0	 	 
42.7969988	1	 	 
42.8442212	0	 	 
43.2714852	1	 	 
43.3188836	0	 	 
43.7703844	1	 	 
43.8155844	0	 	 
44.2859844	1	 	 
44.329386	0	 	 
44.7982084	1	 	 
44.8451844	0	 	 
45.2756004	1	 	 
45.326282	0	 	 
45.7606212	1	 	 
45.8087972	0	 	 
46.2670116	1	 	 
46.3128868	0	 	 
46.7886148	1	 	 
46.8350852	0	 	 
47.2818852	1	 	 
47.3336868	0	 	 
47.7592868	1	 	 
47.810794	0	 	 
48.2499972	1	 	 
48.2991844	0	 	 
48.7709828	1	 	 
48.8185828	0	 	 
49.2803844	1	 	 
49.3310852	0	 	 
49.7654244	1	 	 
49.8200836	0	 	 
50.2392836	1	 	 
50.2925828	0	 	 
50.7508836	1	 	 
50.8003844	0	 	 
51.2678852	1	 	 
51.3186852	0	 	 
51.7708964	1	 	 
51.825386	0	 	 
52.2383876	1	 	 
52.2968868	0	 	 
52.7330884	1	 	 
52.785594	0	 	 
53.2481892	1	 	 
53.29969	0	 	 
53.766394	1	 	 
53.820794	0	 	 
54.2455364	1	 	 
54.3060228	0	 	 
54.7219972	1	 	 
54.7794052	0	 	 
55.2271108	1	 	 
55.2802436	0	 	 
55.7516996	1	 	 
55.8057988	0	 	 
56.2473156	1	 	 
56.3077956	0	 	 
56.7239108	1	 	 
56.7850116	0	 	 
57.206522	1	 	 
57.2644996	0	 	 
57.730298	1	 	 
57.784314	0	 	 
58.2417988	1	 	 
58.3012996	0	 	 
58.7304324	1	 	 
58.7929988	0	 	 
59.1962948	1	 	 
59.2600964	0	 	 
59.7060996	1	 	 
59.7628356	0	 	 
60.2254084	1	 	 
60.283002	0	 	 
60.7329284	1	 	 
60.7961028	0	 	 
61.1980036	1	 	 
61.265306	0	 	 
