Current,Voltage,dCurrent,dVoltage,Resistance,dResistance
mA,V,mA,V,Ohms,Ohms
75.6,0.097,0.1,0.001,1.28306878306878,0.0133359487586427
85.9,0.124,0.1,0.001,1.44353899883586,0.0117621106453755
96.3,0.154,0.1,0.001,1.59916926272066,0.0105161577420161
106.5,0.203,0.1,0.001,1.90610328638498,0.00955872371199658
116.2,0.3,0.1,0.001,2.58175559380379,0.00888803551328737
126.8,0.463,0.1,0.001,3.65141955835962,0.0083957341817733
137,0.603,0.1,0.001,4.4014598540146,0.00797502791846087
147.1,0.731,0.1,0.001,4.96940856560163,0.00759122536001456
157.3,0.862,0.1,0.001,5.47997457088366,0.00724925307105123
167.3,0.994,0.1,0.001,5.94142259414226,0.00695270437330612
177.6,1.127,0.1,0.001,6.34572072072072,0.00666862976202024
